"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","http-nio-8888-exec-2","08/24/2021","14:31:35","","write access is protected;write access is protected
to access the configuration without a password, you need to change the write access to [open] in the Server Administrator;lucee.runtime.exp.SecurityException: write access is protected
	at lucee.runtime.config.ConfigWebUtil.checkPassword(ConfigWebUtil.java:504)
	at lucee.runtime.config.PasswordImpl.updatePassword(PasswordImpl.java:294)
	at lucee.runtime.config.PasswordImpl.updatePassword(PasswordImpl.java:282)
	at lucee.runtime.config.ConfigWebImpl.updatePassword(ConfigWebImpl.java:464)
	at lucee.runtime.tag.Admin.doStartTag(Admin.java:340)
	at web_cfm$cf.call(/admin/web.cfm:106)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:1034)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:926)
	at lucee.runtime.listener.ModernAppListener._onRequest(ModernAppListener.java:217)
	at lucee.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:44)
	at lucee.runtime.PageContextImpl.execute(PageContextImpl.java:2460)
	at lucee.runtime.PageContextImpl._execute(PageContextImpl.java:2450)
	at lucee.runtime.PageContextImpl.executeCFML(PageContextImpl.java:2421)
	at lucee.runtime.engine.Request.exe(Request.java:45)
	at lucee.runtime.engine.CFMLEngineImpl._service(CFMLEngineImpl.java:1179)
	at lucee.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:1125)
	at lucee.loader.engine.CFMLEngineWrapper.serviceCFML(CFMLEngineWrapper.java:97)
	at lucee.loader.servlet.CFMLServlet.service(CFMLServlet.java:51)
..."
"ERROR","http-nio-8888-exec-8","08/24/2021","16:20:33","","java.lang.NullPointerException;java.lang.NullPointerException;lucee.runtime.exp.NativeException: java.lang.NullPointerException
	at lucee.runtime.type.QueryImpl.execute(QueryImpl.java:283)
	at lucee.runtime.type.QueryImpl.<init>(QueryImpl.java:235)
	at lucee.runtime.tag.Query.executeDatasoure(Query.java:1134)
	at lucee.runtime.tag.Query._doEndTag(Query.java:699)
	at lucee.runtime.tag.Query.doEndTag(Query.java:565)
	at index_cfm$cf$g.call(/index.cfm:710)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:1034)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:926)
	at lucee.runtime.listener.ModernAppListener._onRequest(ModernAppListener.java:217)
	at lucee.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:44)
	at lucee.runtime.PageContextImpl.execute(PageContextImpl.java:2460)
	at lucee.runtime.PageContextImpl._execute(PageContextImpl.java:2450)
	at lucee.runtime.PageContextImpl.executeCFML(PageContextImpl.java:2421)
	at lucee.runtime.engine.Request.exe(Request.java:45)
	at lucee.runtime.engine.CFMLEngineImpl._service(CFMLEngineImpl.java:1179)
	at lucee.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:1125)
	at lucee.loader.engine.CFMLEngineWrapper.serviceCFML(CFMLEngineWrapper.java:97)
	at lucee.loader.servlet.CFMLServlet.service(CFMLServlet.java:51)
	at javax.servlet.http.HttpServlet.service(HttpServlet.java:733)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:227)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:162)
	at org.apache.tomcat.websocket.server.WsFilter.doFilter(WsFilter.java:53)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:189)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:162)
	at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:202)
	at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:97)
	at org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:542)
	at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:143)
	at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:92)
	at mod_cfml.core.invoke(core.java:180)
	at org.apache.catalina.valves.AbstractAccessLogValve.invoke(AbstractAccessLogValve.java:687)
	at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:78)
	at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:357)
	at org.apache.coyote.http11.Http11Processor.service(Http11Processor.java:374)
	at org.apache.coyote.AbstractProcessorLight.process(AbstractProcessorLight.java:65)
	at org.apache.coyote.AbstractProtocol$ConnectionHandler.process(AbstractProtocol.java:893)
	at org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun(NioEndpoint.java:1707)
	at org.apache.tomcat.util.net.SocketProcessorBase.run(SocketProcessorBase.java:49)
	at java.base/java.util.concurrent.ThreadPoolExecutor.runWorker(Unknown Source)
	at java.base/java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown Source)
	at org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run(TaskThread.java:61)
	at java.base/java.lang.Thread.run(Unknown Source)
Caused by: java.lang.NullPointerException
	... 42 more
"
"ERROR","http-nio-8888-exec-9","08/24/2021","16:21:33","","java.lang.NullPointerException;java.lang.NullPointerException;lucee.runtime.exp.NativeException: java.lang.NullPointerException
	at lucee.runtime.db.DCStack.get(DCStack.java:84)
	at lucee.runtime.db.DatasourceConnectionPool.getDatasourceConnection(DatasourceConnectionPool.java:106)
	at lucee.runtime.db.DatasourceManagerImpl.getConnection(DatasourceManagerImpl.java:76)
	at lucee.runtime.tag.Query.executeDatasoure(Query.java:1119)
	at lucee.runtime.tag.Query._doEndTag(Query.java:699)
	at lucee.runtime.tag.Query.doEndTag(Query.java:565)
	at index_cfm$cf$h.call(/index.cfm:1115)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:1034)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:926)
	at lucee.runtime.listener.ModernAppListener._onRequest(ModernAppListener.java:217)
	at lucee.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:44)
	at lucee.runtime.PageContextImpl.execute(PageContextImpl.java:2460)
	at lucee.runtime.PageContextImpl._execute(PageContextImpl.java:2450)
	at lucee.runtime.PageContextImpl.executeCFML(PageContextImpl.java:2421)
	at lucee.runtime.engine.Request.exe(Request.java:45)
	at lucee.runtime.engine.CFMLEngineImpl._service(CFMLEngineImpl.java:1179)
	at lucee.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:1125)
	at lucee.loader.engine.CFMLEngineWrapper.serviceCFML(CFMLEngineWrapper.java:97)
	at lucee.loader.servlet.CFMLServlet.service(CFMLServlet.java:51)
	at javax.servlet.http.HttpServlet.service(HttpServlet.java:733)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:227)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:162)
	at org.apache.tomcat.websocket.server.WsFilter.doFilter(WsFilter.java:53)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:189)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:162)
	at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:202)
	at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:97)
	at org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:542)
	at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:143)
	at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:92)
	at mod_cfml.core.invoke(core.java:180)
	at org.apache.catalina.valves.AbstractAccessLogValve.invoke(AbstractAccessLogValve.java:687)
	at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:78)
	at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:357)
	at org.apache.coyote.http11.Http11Processor.service(Http11Processor.java:374)
	at org.apache.coyote.AbstractProcessorLight.process(AbstractProcessorLight.java:65)
	at org.apache.coyote.AbstractProtocol$ConnectionHandler.process(AbstractProtocol.java:893)
	at org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun(NioEndpoint.java:1707)
	at org.apache.tomcat.util.net.SocketProcessorBase.run(SocketProcessorBase.java:49)
	at java.base/java.util.concurrent.ThreadPoolExecutor.runWorker(Unknown Source)
	at java.base/java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown Source)
	at org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run(TaskThread.java:61)
	at java.base/java.lang.Thread.run(Unknown Source)
Caused by: java.lang.NullPointerException
	... 43 more
"
"ERROR","http-nio-8888-exec-7","08/24/2021","22:55:57","","java.lang.NullPointerException;java.lang.NullPointerException;lucee.runtime.exp.NativeException: java.lang.NullPointerException
	at lucee.runtime.type.QueryImpl.execute(QueryImpl.java:283)
	at lucee.runtime.type.QueryImpl.<init>(QueryImpl.java:235)
	at lucee.runtime.tag.Query.executeDatasoure(Query.java:1134)
	at lucee.runtime.tag.Query._doEndTag(Query.java:699)
	at lucee.runtime.tag.Query.doEndTag(Query.java:565)
	at index_cfm$cf.call(/index.cfm:1115)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:1034)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:926)
	at lucee.runtime.listener.ModernAppListener._onRequest(ModernAppListener.java:217)
	at lucee.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:44)
	at lucee.runtime.PageContextImpl.execute(PageContextImpl.java:2460)
	at lucee.runtime.PageContextImpl._execute(PageContextImpl.java:2450)
	at lucee.runtime.PageContextImpl.executeCFML(PageContextImpl.java:2421)
	at lucee.runtime.engine.Request.exe(Request.java:45)
	at lucee.runtime.engine.CFMLEngineImpl._service(CFMLEngineImpl.java:1179)
	at lucee.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:1125)
	at lucee.loader.engine.CFMLEngineWrapper.serviceCFML(CFMLEngineWrapper.java:97)
	at lucee.loader.servlet.CFMLServlet.service(CFMLServlet.java:51)
	at javax.servlet.http.HttpServlet.service(HttpServlet.java:733)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:227)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:162)
	at org.apache.tomcat.websocket.server.WsFilter.doFilter(WsFilter.java:53)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:189)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:162)
	at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:202)
	at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:97)
	at org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:542)
	at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:143)
	at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:92)
	at mod_cfml.core.invoke(core.java:180)
	at org.apache.catalina.valves.AbstractAccessLogValve.invoke(AbstractAccessLogValve.java:687)
	at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:78)
	at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:357)
	at org.apache.coyote.http11.Http11Processor.service(Http11Processor.java:374)
	at org.apache.coyote.AbstractProcessorLight.process(AbstractProcessorLight.java:65)
	at org.apache.coyote.AbstractProtocol$ConnectionHandler.process(AbstractProtocol.java:893)
	at org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun(NioEndpoint.java:1707)
	at org.apache.tomcat.util.net.SocketProcessorBase.run(SocketProcessorBase.java:49)
	at java.base/java.util.concurrent.ThreadPoolExecutor.runWorker(Unknown Source)
	at java.base/java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown Source)
	at org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run(TaskThread.java:61)
	at java.base/java.lang.Thread.run(Unknown Source)
Caused by: java.lang.NullPointerException
	... 42 more
"
"ERROR","http-nio-8888-exec-5","08/25/2021","00:15:58","","missing terminating [#] for expression;missing terminating [#] for expression;lucee.runtime.exp.TemplateException: missing terminating [#] for expression
	at lucee.transformer.cfml.tag.CFMLTransformer.literal(CFMLTransformer.java:504)
	at lucee.transformer.cfml.tag.CFMLTransformer.body(CFMLTransformer.java:393)
	at lucee.transformer.cfml.tag.CFMLTransformer.body(CFMLTransformer.java:397)
	at lucee.transformer.cfml.tag.CFMLTransformer.tag(CFMLTransformer.java:782)
	at lucee.transformer.cfml.tag.CFMLTransformer.body(CFMLTransformer.java:389)
	at lucee.transformer.cfml.tag.CFMLTransformer.body(CFMLTransformer.java:397)
	at lucee.transformer.cfml.tag.CFMLTransformer.body(CFMLTransformer.java:397)
	at lucee.transformer.cfml.tag.CFMLTransformer.transform(CFMLTransformer.java:327)
	at lucee.transformer.cfml.tag.CFMLTransformer.transform(CFMLTransformer.java:319)
	at lucee.transformer.cfml.tag.CFMLTransformer.transform(CFMLTransformer.java:175)
	at lucee.runtime.compiler.CFMLCompilerImpl._compile(CFMLCompilerImpl.java:104)
	at lucee.runtime.compiler.CFMLCompilerImpl.compile(CFMLCompilerImpl.java:76)
	at lucee.runtime.PageSourceImpl._compile(PageSourceImpl.java:446)
	at lucee.runtime.PageSourceImpl.compile(PageSourceImpl.java:413)
	at lucee.runtime.PageSourceImpl.loadPhysical(PageSourceImpl.java:331)
	at lucee.runtime.PageSourceImpl.loadPageThrowTemplateException(PageSourceImpl.java:237)
	at lucee.runtime.PageSourceImpl.loadPage(PageSourceImpl.java:1024)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:1029)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:926)
	at lucee.runtime.listener.ModernAppListener._onRequest(ModernAppListener.java:217)
	at lucee.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:44)
	at lucee.runtime.PageContextImpl.execute(PageContextImpl.java:2460)
	at lucee.runtime.PageContextImpl._execute(PageContextImpl.java:2450)
	at lucee.runtime.PageContextImpl.executeCFML(PageContextImpl.java:2421)
	at lucee.runtime.engine.Request.exe(Request.java:45)
	at lucee.runtime.engine.CFMLEngineImpl._service(CFMLEngineImpl.java:1179)
	at lucee.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:1125)
	at lucee.loader.engine.CFMLEngineWrapper.serviceCFML(CFMLEngineWrapper.java:97)
	at lucee.loader.servlet.CFMLServlet.service(CFMLServlet.java:51)
..."
"ERROR","http-nio-8888-exec-7","08/30/2021","17:56:21","","Zero date value prohibited;Zero date value prohibited;lucee.runtime.exp.DatabaseException: Zero date value prohibited
	at com.mysql.cj.jdbc.exceptions.SQLError.createSQLException(SQLError.java:129)
	at com.mysql.cj.jdbc.exceptions.SQLError.createSQLException(SQLError.java:97)
	at com.mysql.cj.jdbc.exceptions.SQLError.createSQLException(SQLError.java:89)
	at com.mysql.cj.jdbc.exceptions.SQLError.createSQLException(SQLError.java:63)
	at com.mysql.cj.jdbc.exceptions.SQLError.createSQLException(SQLError.java:73)
	at com.mysql.cj.jdbc.exceptions.SQLExceptionsMapping.translateException(SQLExceptionsMapping.java:99)
	at com.mysql.cj.jdbc.result.ResultSetImpl.getDate(ResultSetImpl.java:749)
	at lucee.runtime.query.caster.DateCast.toCFType(DateCast.java:40)
	at lucee.runtime.type.QueryImpl.fillResult(QueryImpl.java:706)
	at lucee.runtime.type.QueryImpl.execute(QueryImpl.java:304)
	at lucee.runtime.type.QueryImpl.<init>(QueryImpl.java:235)
	at lucee.runtime.tag.Query.executeDatasoure(Query.java:1134)
	at lucee.runtime.tag.Query._doEndTag(Query.java:699)
	at lucee.runtime.tag.Query.doEndTag(Query.java:565)
	at examples.profile_page_cfm360$cf.call(/examples/profile-page.cfm:20)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:1034)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:926)
	at lucee.runtime.listener.ModernAppListener._onRequest(ModernAppListener.java:217)
	at lucee.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:44)
	at lucee.runtime.PageContextImpl.execute(PageContextImpl.java:2460)
	at lucee.runtime.PageContextImpl._execute(PageContextImpl.java:2450)
	at lucee.runtime.PageContextImpl.executeCFML(PageContextImpl.java:2421)
	at lucee.runtime.engine.Request.exe(Request.java:45)
	at lucee.runtime.engine.CFMLEngineImpl._service(CFMLEngineImpl.java:1179)
	at lucee.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:1125)
	at lucee.loader.engine.CFMLEngineWrapper.serviceCFML(CFMLEngineWrapper.java:97)
	at lucee.loader.servlet.CFMLServlet.service(CFMLServlet.java:51)
..."
"ERROR","http-nio-8888-exec-6","08/30/2021","18:16:08","","Zero date value prohibited;Zero date value prohibited;lucee.runtime.exp.DatabaseException: Zero date value prohibited
	at com.mysql.cj.jdbc.exceptions.SQLError.createSQLException(SQLError.java:129)
	at com.mysql.cj.jdbc.exceptions.SQLError.createSQLException(SQLError.java:97)
	at com.mysql.cj.jdbc.exceptions.SQLError.createSQLException(SQLError.java:89)
	at com.mysql.cj.jdbc.exceptions.SQLError.createSQLException(SQLError.java:63)
	at com.mysql.cj.jdbc.exceptions.SQLError.createSQLException(SQLError.java:73)
	at com.mysql.cj.jdbc.exceptions.SQLExceptionsMapping.translateException(SQLExceptionsMapping.java:99)
	at com.mysql.cj.jdbc.result.ResultSetImpl.getDate(ResultSetImpl.java:749)
	at lucee.runtime.query.caster.DateCast.toCFType(DateCast.java:40)
	at lucee.runtime.type.QueryImpl.fillResult(QueryImpl.java:706)
	at lucee.runtime.type.QueryImpl.execute(QueryImpl.java:304)
	at lucee.runtime.type.QueryImpl.<init>(QueryImpl.java:235)
	at lucee.runtime.tag.Query.executeDatasoure(Query.java:1134)
	at lucee.runtime.tag.Query._doEndTag(Query.java:699)
	at lucee.runtime.tag.Query.doEndTag(Query.java:565)
	at examples.profile_page_cfm360$cf.call(/examples/profile-page.cfm:20)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:1034)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:926)
	at lucee.runtime.listener.ModernAppListener._onRequest(ModernAppListener.java:217)
	at lucee.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:44)
	at lucee.runtime.PageContextImpl.execute(PageContextImpl.java:2460)
	at lucee.runtime.PageContextImpl._execute(PageContextImpl.java:2450)
	at lucee.runtime.PageContextImpl.executeCFML(PageContextImpl.java:2421)
	at lucee.runtime.engine.Request.exe(Request.java:45)
	at lucee.runtime.engine.CFMLEngineImpl._service(CFMLEngineImpl.java:1179)
	at lucee.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:1125)
	at lucee.loader.engine.CFMLEngineWrapper.serviceCFML(CFMLEngineWrapper.java:97)
	at lucee.loader.servlet.CFMLServlet.service(CFMLServlet.java:51)
..."
"ERROR","http-nio-8888-exec-9","09/01/2021","21:46:51","","You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '8 teamName, teamID
FROM Teams
Where Status = 'Active'' at line 1;You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '8 teamName, teamID
FROM Teams
Where Status = 'Active'' at line 1;lucee.runtime.exp.DatabaseException: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '8 teamName, teamID
FROM Teams
Where Status = 'Active'' at line 1
	at com.mysql.cj.jdbc.exceptions.SQLError.createSQLException(SQLError.java:120)
	at com.mysql.cj.jdbc.exceptions.SQLError.createSQLException(SQLError.java:97)
	at com.mysql.cj.jdbc.exceptions.SQLExceptionsMapping.translateException(SQLExceptionsMapping.java:122)
	at com.mysql.cj.jdbc.StatementImpl.executeInternal(StatementImpl.java:764)
	at com.mysql.cj.jdbc.StatementImpl.execute(StatementImpl.java:648)
	at lucee.runtime.type.util.QueryUtil.execute(QueryUtil.java:320)
	at lucee.runtime.type.QueryImpl.execute(QueryImpl.java:287)
	at lucee.runtime.type.QueryImpl.<init>(QueryImpl.java:235)
	at lucee.runtime.tag.Query.executeDatasoure(Query.java:1134)
	at lucee.runtime.tag.Query._doEndTag(Query.java:699)
	at lucee.runtime.tag.Query.doEndTag(Query.java:565)
	at examples.landing_page_cfm360$cf$b.call(/examples/landing-page.cfm:8)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:1034)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:926)
	at lucee.runtime.listener.ModernAppListener._onRequest(ModernAppListener.java:217)
	at lucee.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:44)
	at lucee.runtime.PageContextImpl.execute(PageContextImpl.java:2460)
	at lucee.runtime.PageContextImpl._execute(PageContextImpl.java:2450)
	at lucee.runtime.PageContextImpl.executeCFML(PageContextImpl.java:2421)
	at lucee.runtime.engine.Request.exe(Request.java:45)
	at lucee.runtime.engine.CFMLEngineImpl._service(CFMLEngineImpl.java:1179)
	at lucee.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:1125)
	at lucee.loader.engine.CFMLEngineWrapper.serviceCFML(CFMLEngineWrapper.java:97)
	at lucee.loader.servlet.CFMLServlet.service(CFMLServlet.java:51)
..."
"ERROR","http-nio-8888-exec-10","09/03/2021","00:17:21","","No matching end tag found for tag [cfoutput];No matching end tag found for tag [cfoutput];lucee.runtime.exp.TemplateException: No matching end tag found for tag [cfoutput]
	at lucee.transformer.cfml.tag.CFMLTransformer.createTemplateException(CFMLTransformer.java:1291)
	at lucee.transformer.cfml.tag.CFMLTransformer.tag(CFMLTransformer.java:789)
	at lucee.transformer.cfml.tag.CFMLTransformer.body(CFMLTransformer.java:389)
	at lucee.transformer.cfml.tag.CFMLTransformer.body(CFMLTransformer.java:397)
	at lucee.transformer.cfml.tag.CFMLTransformer.body(CFMLTransformer.java:397)
	at lucee.transformer.cfml.tag.CFMLTransformer.transform(CFMLTransformer.java:327)
	at lucee.transformer.cfml.tag.CFMLTransformer.transform(CFMLTransformer.java:319)
	at lucee.transformer.cfml.tag.CFMLTransformer.transform(CFMLTransformer.java:175)
	at lucee.runtime.compiler.CFMLCompilerImpl._compile(CFMLCompilerImpl.java:104)
	at lucee.runtime.compiler.CFMLCompilerImpl.compile(CFMLCompilerImpl.java:76)
	at lucee.runtime.PageSourceImpl._compile(PageSourceImpl.java:446)
	at lucee.runtime.PageSourceImpl.compile(PageSourceImpl.java:413)
	at lucee.runtime.PageSourceImpl.loadPhysical(PageSourceImpl.java:331)
	at lucee.runtime.PageSourceImpl.loadPageThrowTemplateException(PageSourceImpl.java:237)
	at lucee.runtime.PageSourceImpl.loadPage(PageSourceImpl.java:1024)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:1029)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:926)
	at lucee.runtime.PageContextImpl.doInclude(PageContextImpl.java:907)
	at pages.page_template_cfm225$cf$l.call(/pages/page-template.cfm:1)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:1034)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:926)
	at lucee.runtime.listener.ModernAppListener._onRequest(ModernAppListener.java:217)
	at lucee.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:44)
	at lucee.runtime.PageContextImpl.execute(PageContextImpl.java:2460)
	at lucee.runtime.PageContextImpl._execute(PageContextImpl.java:2450)
	at lucee.runtime.PageContextImpl.executeCFML(PageContextImpl.java:2421)
	at lucee.runtime.engine.Request.exe(Request.java:45)
	at lucee.runtime.engine.CFMLEngineImpl._service(CFMLEngineImpl.java:1179)
	at lucee.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:1125)
	at lucee.loader.engine.CFMLEngineWrapper.serviceCFML(CFMLEngineWrapper.java:97)
	at lucee.loader.servlet.CFMLServlet.service(CFMLServlet.java:51)
..."
"ERROR","http-nio-8888-exec-8","09/10/2021","16:27:11","","missing terminating [#] for expression;missing terminating [#] for expression;lucee.runtime.exp.TemplateException: missing terminating [#] for expression
	at lucee.transformer.cfml.tag.CFMLTransformer.literal(CFMLTransformer.java:504)
	at lucee.transformer.cfml.tag.CFMLTransformer.body(CFMLTransformer.java:393)
	at lucee.transformer.cfml.tag.CFMLTransformer.body(CFMLTransformer.java:397)
	at lucee.transformer.cfml.tag.CFMLTransformer.body(CFMLTransformer.java:397)
	at lucee.transformer.cfml.tag.CFMLTransformer.body(CFMLTransformer.java:397)
	at lucee.transformer.cfml.tag.CFMLTransformer.body(CFMLTransformer.java:397)
	at lucee.transformer.cfml.tag.CFMLTransformer.tag(CFMLTransformer.java:782)
	at lucee.transformer.cfml.tag.CFMLTransformer.body(CFMLTransformer.java:389)
	at lucee.transformer.cfml.tag.CFMLTransformer.body(CFMLTransformer.java:397)
	at lucee.transformer.cfml.tag.CFMLTransformer.body(CFMLTransformer.java:397)
	at lucee.transformer.cfml.tag.CFMLTransformer.body(CFMLTransformer.java:397)
	at lucee.transformer.cfml.tag.CFMLTransformer.body(CFMLTransformer.java:397)
	at lucee.transformer.cfml.tag.CFMLTransformer.transform(CFMLTransformer.java:327)
	at lucee.transformer.cfml.tag.CFMLTransformer.transform(CFMLTransformer.java:319)
	at lucee.transformer.cfml.tag.CFMLTransformer.transform(CFMLTransformer.java:175)
	at lucee.runtime.compiler.CFMLCompilerImpl._compile(CFMLCompilerImpl.java:104)
	at lucee.runtime.compiler.CFMLCompilerImpl.compile(CFMLCompilerImpl.java:76)
	at lucee.runtime.PageSourceImpl._compile(PageSourceImpl.java:446)
	at lucee.runtime.PageSourceImpl.compile(PageSourceImpl.java:413)
	at lucee.runtime.PageSourceImpl.loadPhysical(PageSourceImpl.java:331)
	at lucee.runtime.PageSourceImpl.loadPageThrowTemplateException(PageSourceImpl.java:237)
	at lucee.runtime.PageSourceImpl.loadPage(PageSourceImpl.java:1024)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:1029)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:926)
	at lucee.runtime.listener.ModernAppListener._onRequest(ModernAppListener.java:217)
	at lucee.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:44)
	at lucee.runtime.PageContextImpl.execute(PageContextImpl.java:2460)
	at lucee.runtime.PageContextImpl._execute(PageContextImpl.java:2450)
	at lucee.runtime.PageContextImpl.executeCFML(PageContextImpl.java:2421)
	at lucee.runtime.engine.Request.exe(Request.java:45)
	at lucee.runtime.engine.CFMLEngineImpl._service(CFMLEngineImpl.java:1179)
	at lucee.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:1125)
	at lucee.loader.engine.CFMLEngineWrapper.serviceCFML(CFMLEngineWrapper.java:97)
	at lucee.loader.servlet.CFMLServlet.service(CFMLServlet.java:51)
..."
